Simul Nr;Rep;Pop size;Select coeff;Attempts;Prob allele loss;Prob allele fix;St. dev. allele fix;Aver gen to fix;St. dev. gen to fix
1;1;1000;-0.001;10000000;0.99996570;0.00003430;0.0000018520;3244.99;1592.89
1;2;1000;-0.001;10000000;0.99996190;0.00003810;0.0000019519;3395.17;1733.16
1;3;1000;-0.001;10000000;0.99996480;0.00003520;0.0000018761;3293.55;1489.93
1;4;1000;-0.001;10000000;0.99996390;0.00003610;0.0000019000;3406.94;1696.68
1;5;1000;-0.001;10000000;0.99996180;0.00003820;0.0000019544;3358.94;1667.34
1;6;1000;-0.001;10000000;0.99996330;0.00003670;0.0000019157;3466.46;1580.61
1;7;1000;-0.001;10000000;0.99996300;0.00003700;0.0000019235;3280.03;1502.86
1;8;1000;-0.001;10000000;0.99996090;0.00003910;0.0000019773;3267.92;1590.22
1;9;1000;-0.001;10000000;0.99996110;0.00003890;0.0000019723;3255.38;1516.33
1;10;1000;-0.001;10000000;0.99996140;0.00003860;0.0000019647;3434.72;1645.38
1;11;1000;-0.001;10000000;0.99996350;0.00003650;0.0000019105;3329.90;1587.16
1;12;1000;-0.001;10000000;0.99996540;0.00003460;0.0000018601;3424.66;1523.29
1;13;1000;-0.001;10000000;0.99996490;0.00003510;0.0000018735;3265.85;1456.01
1;14;1000;-0.001;10000000;0.99996270;0.00003730;0.0000019313;3276.43;1575.96
1;15;1000;-0.001;10000000;0.99996470;0.00003530;0.0000018788;3250.92;1473.18
1;16;1000;-0.001;10000000;0.99996160;0.00003840;0.0000019596;3428.77;1726.67
1;17;1000;-0.001;10000000;0.99996310;0.00003690;0.0000019209;3318.69;1719.86
1;18;1000;-0.001;10000000;0.99996440;0.00003560;0.0000018868;3301.12;1620.89
1;19;1000;-0.001;10000000;0.99996200;0.00003800;0.0000019493;3258.86;1490.47
1;20;1000;-0.001;10000000;0.99996310;0.00003690;0.0000019209;3374.22;1719.48
1;1;1000;-0.002;10000000;0.99999830;0.00000170;0.0000004123;2655.94;718.33
1;2;1000;-0.002;10000000;0.99999790;0.00000210;0.0000004583;2358.38;960.52
1;3;1000;-0.002;10000000;0.99999890;0.00000110;0.0000003317;3060.45;1241.74
1;4;1000;-0.002;10000000;0.99999770;0.00000230;0.0000004796;2449.00;1149.86
1;5;1000;-0.002;10000000;0.99999830;0.00000170;0.0000004123;2241.29;604.33
1;6;1000;-0.002;10000000;0.99999860;0.00000140;0.0000003742;2702.00;1024.73
1;7;1000;-0.002;10000000;0.99999900;0.00000100;0.0000003162;2675.30;1375.65
1;8;1000;-0.002;10000000;0.99999790;0.00000210;0.0000004583;2567.33;778.63
1;9;1000;-0.002;10000000;0.99999840;0.00000160;0.0000004000;2301.62;1154.27
1;10;1000;-0.002;10000000;0.99999900;0.00000100;0.0000003162;2275.40;574.80
1;11;1000;-0.002;10000000;0.99999870;0.00000130;0.0000003606;2223.69;720.33
1;12;1000;-0.002;10000000;0.99999870;0.00000130;0.0000003606;2751.85;739.17
1;13;1000;-0.002;10000000;0.99999860;0.00000140;0.0000003742;2466.57;969.60
1;14;1000;-0.002;10000000;0.99999840;0.00000160;0.0000004000;2403.12;578.51
1;15;1000;-0.002;10000000;0.99999860;0.00000140;0.0000003742;2597.86;1229.32
1;16;1000;-0.002;10000000;0.99999860;0.00000140;0.0000003742;2322.00;645.03
1;17;1000;-0.002;10000000;0.99999860;0.00000140;0.0000003742;2747.50;1367.74
1;18;1000;-0.002;10000000;0.99999850;0.00000150;0.0000003873;2049.73;522.82
1;19;1000;-0.002;10000000;0.99999850;0.00000150;0.0000003873;2470.27;799.37
1;20;1000;-0.002;10000000;0.99999830;0.00000170;0.0000004123;2319.47;817.05
2;1;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;2;1000;-0.003;10000000;0.99999980;0.00000020;0.0000001414;1439.50;210.50
2;3;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;4;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;5;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;6;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;7;1000;-0.003;10000000;0.99999990;0.00000010;0.0000001000;1319.00;0.00
2;8;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;9;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;10;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;11;1000;-0.003;10000000;0.99999990;0.00000010;0.0000001000;1409.00;0.00
2;12;1000;-0.003;10000000;0.99999990;0.00000010;0.0000001000;1773.00;0.00
2;13;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;14;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
2;15;1000;-0.003;10000000;1.00000000;0.00000000;0.0000000000;nan;nan
